Name,id,Lon,Lat,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Butte,1,-112.6570522,45.90182271,508,455,466,438,417,427,328,419,483,507
Belgrade,2,-111.1751467,45.77959688,105,119,133,120,150,124,117,135,205,159
Billings,3,-108.552522,45.78924639,2922,2781,2724,2747,2710,2661,2739,2697,2706,2699
Bozeman,4,-111.0550796,45.68310314,809,802,714,592,594,648,636,558,500,548
Columbia Falls,5,-114.1902149,48.37099619,79,57,61,62,44,50,1,7,61,49
Dillon,6,-112.6353197,45.21720901,43,33,43,51,42,40,53,40,39,55
East Helena,7,-111.915872,46.58500293,13,11,13,4,10,9,8,11,17,14
Glendive,8,-104.7069664,47.11012387,84,79,128,120,92,146,140,126,127,127
Great Falls,9,-111.2995572,47.50218861,1647,1694,1728,1792,1872,1704,1538,1563,1627,1648
Hamilton,10,-114.1597573,46.25274802,102,120,124,91,119,101,106,120,149,147
Helena,11,-112.0201883,46.59655488,1157,1156,1156,1145,1082,1034,982,990,1131,1078
Kalispell,12,-114.3272823,48.21537343,629,541,597,643,474,513,553,519,648,592
Livingston,13,-110.5537372,45.66657062,150,204,173,140,128,138,134,99,21,27
Missoula,14,-114.0213653,46.87497003,1486,1720,1772,1677,1568,1539,1368,1465,1786,1852
Polson,15,-114.1412521,47.68865406,39,52,67,69,62,57,39,43,48,35
