id,name,long,lat,2011,2012,2013,2014,2015,2016,2017,
1,Ekalaka,-104.5506117,45.88968651,0.981873112,1.033846154,0.99702381,1.002985075,0.994047619,1.032934132,1.037681159,3.7681159
2,Hamilton,-114.1597573,46.25274802,1.010712622,1.021198157,1.005189531,1.006060606,1.013163766,1.02048007,1.020284851,2.0284851
3,Drummond,-113.1470854,46.66647959,1.019047619,0.99376947,1.006269592,1.024922118,1.006079027,1.039274924,1.020348837,2.0348837
4,Missoula,-114.0213653,46.87497003,1.008796034,1.012272209,1.006186019,1.0105664,1.015273982,1.019988101,1.018568671,1.8568671
5,Sidney,-104.1680595,47.71517794,1.045582442,1.076605669,1.048325279,1.031791448,1.050377446,0.960252273,0.966549565,-3.3450435
6,Culbertson,-104.5185224,48.14479925,1.006925208,1.048143054,1.020997375,1.016709512,1.026548673,0.985221675,0.99,-1
7,Bainville,-104.2196637,48.13937633,1.154205607,1.149797571,1.031690141,1.023890785,1.056666667,0.984227129,0.996794872,-0.3205128
8,Kalispell,-114.3272823,48.21537343,1.015496537,1.008881256,1.019308399,1.024668384,1.017275902,1.031584729,1.02999645,2.999645
9,Columbia Falls,-114.1902149,48.37099619,1.001063377,1.003611642,1.013124471,1.024028416,1.029585799,1.028537455,1.031791908,3.1791908
10,Rexford,-115.1711148,48.89980054,1.254545455,1.108695652,1,0.986928105,0.993377483,1.006666667,1.013245033,1.3245033
11,Joliet,-108.9721061,45.48433735,1.015410959,1.032040472,1.035947712,1.009463722,0.9953125,1.010989011,1.017080745,1.7080745
12,Belgrade,-111.1751467,45.77959688,1.012183693,1.006084656,1.004733105,1.014263282,1.028125403,1.027356005,1.045071455,4.5071455
13,Bozeman,-111.0550796,45.68310314,1.019993032,1.014661447,1.026335552,1.045693092,1.040197853,1.041984644,1.037287683,3.7287683
14,Ennis,-111.7318837,45.34599231,1.005988024,1.005952381,1.002366864,1.020070838,1.023148148,1.011312217,1.032438479,3.2438479
15,Manhattan,-111.3342369,45.86231461,1.015181518,1.003250975,1.009721322,1.003851091,1.040920716,1.036240786,1.037344398,3.7344398
16,Twin Bridges,-112.3340901,45.54289019,1.005249344,1,1.002610966,1.013020833,1.023136247,1.015075377,1.034653465,3.4653465
17,Helena,-112.0201883,46.59655488,1.013941833,1.011835555,1.012385179,1.011282156,1.019725125,1.015257365,1.02012399,2.012399
18,Whitefish,-114.3591094,48.43287408,1.006107109,1.009338521,1.023901311,1.02996988,1.029536482,1.029115183,1.049958598,4.9958598
